Season,Playoffs,Rk,G,Date,Days Off,Age,Age-Decimal,Tm,Home,Opp,Result,WinLoss,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2012-2013,0,30,30,1/2/2013,2.00,28-003,28.00821918,MIA,1,DAL,10,W,1,42:01:00,11,20,0.55,1,3,0.333,9,11,0.818,1,11,12,9,3,1,4,0,32,31.6,12
2012-2013,0,31,31,1/4/2013,2.00,28-005,28.01369863,MIA,1,CHI,-7,L,1,41:05:00,8,14,0.571,1,5,0.2,13,16,0.813,0,6,6,2,1,0,2,2,30,23.6,-18
2012-2013,0,32,32,1/6/2013,2.00,28-007,28.01917808,MIA,1,WAS,28,W,1,34:57:00,9,17,0.529,2,3,0.667,4,4,1,1,1,2,7,0,1,1,0,24,21.3,26
2012-2013,0,33,33,1/8/2013,2.00,28-009,28.02465753,MIA,0,IND,-10,L,1,42:36:00,10,20,0.5,1,1,1,1,4,0.25,3,7,10,4,1,2,7,2,22,12.4,-5
2012-2013,0,34,34,1/10/2013,2.00,28-011,28.03013699,MIA,0,POR,-2,L,1,42:39:00,6,16,0.375,1,5,0.2,2,5,0.4,0,10,10,9,2,1,4,3,15,11.8,-9
2012-2013,0,35,35,1/12/2013,2.00,28-013,28.03561644,MIA,0,SAC,29,W,1,29:08:00,7,10,0.7,0,1,0,6,7,0.857,1,4,5,7,5,2,1,0,20,27.6,28
2012-2013,0,36,36,1/14/2013,2.00,28-015,28.04109589,MIA,0,UTA,-7,L,1,43:41:00,13,19,0.684,2,4,0.5,4,4,1,1,3,4,6,3,2,3,5,32,29.1,1
2012-2013,0,37,37,1/16/2013,1.00,28-017,28.04657534,MIA,0,GSW,17,W,1,30:32:00,11,20,0.55,1,5,0.2,2,3,0.667,1,6,7,10,1,0,1,2,25,23.7,33
2012-2013,0,38,38,1/17/2013,6.00,28-018,28.04931507,MIA,0,LAL,9,W,1,42:04:00,17,25,0.68,1,2,0.5,4,4,1,0,7,7,8,3,1,2,2,39,36.9,13
2012-2013,0,39,39,1/23/2013,2.00,28-024,28.06575342,MIA,1,TOR,7,W,1,44:50:00,12,23,0.522,1,5,0.2,6,7,0.857,1,9,10,11,0,0,3,1,31,27,9
2012-2013,0,40,40,1/25/2013,2.00,28-026,28.07123288,MIA,1,DET,22,W,1,33:01:00,9,14,0.643,0,1,0,5,6,0.833,1,6,7,7,1,0,2,0,23,22.8,22
2012-2013,0,41,41,1/27/2013,3.00,28-028,28.07671233,MIA,0,BOS,-2,L,1,51:56:00,14,31,0.452,3,6,0.5,3,5,0.6,4,12,16,7,3,1,3,3,34,27.9,-2
2012-2013,0,42,42,1/30/2013,2.00,28-031,28.08493151,MIA,0,BRK,20,W,1,34:17:00,10,18,0.556,3,4,0.75,1,4,0.25,2,7,9,7,2,0,4,2,24,19.8,22
2012-2013,0,43,43,2/1/2013,2.00,28-033,28.09041096,MIA,0,IND,-13,L,1,41:58:00,9,17,0.529,1,3,0.333,9,11,0.818,1,5,6,3,1,1,3,4,28,20.3,-9
2012-2013,0,44,44,2/3/2013,1.00,28-035,28.09589041,MIA,0,TOR,15,W,1,39:44:00,10,16,0.625,1,2,0.5,9,11,0.818,0,8,8,7,2,0,3,1,30,27.9,29
2012-2013,0,45,45,2/4/2013,2.00,28-036,28.09863014,MIA,1,CHA,5,W,1,38:00:00,13,14,0.929,0,0,,5,6,0.833,0,8,8,8,2,0,5,1,31,30.6,8
2012-2013,0,46,46,2/6/2013,2.00,28-038,28.10410959,MIA,1,HOU,6,W,1,36:37:00,11,18,0.611,3,6,0.5,7,10,0.7,1,5,6,5,0,2,4,2,32,24.9,4
2012-2013,0,47,47,2/8/2013,2.00,28-040,28.10958904,MIA,1,LAC,22,W,1,30:59:00,9,11,0.818,4,5,0.8,8,11,0.727,1,4,5,6,0,2,5,3,30,26,21
2012-2013,0,48,48,2/10/2013,2.00,28-042,28.11506849,MIA,1,LAL,10,W,1,36:15:00,12,18,0.667,1,2,0.5,7,8,0.875,1,6,7,4,3,0,4,4,32,26.5,7
2012-2013,0,49,49,2/12/2013,2.00,28-044,28.12054795,MIA,1,POR,13,W,1,38:45:00,11,15,0.733,1,3,0.333,7,8,0.875,0,6,6,9,3,2,1,0,30,35,21
2012-2013,0,50,50,2/14/2013,6.00,28-046,28.1260274,MIA,0,OKC,10,W,1,40:02:00,14,24,0.583,4,8,0.5,7,9,0.778,3,9,12,7,2,0,4,3,39,33.5,15
2012-2013,0,51,51,2/20/2013,1.00,28-052,28.14246575,MIA,0,ATL,13,W,1,39:31:00,8,15,0.533,1,4,0.25,7,8,0.875,0,6,6,11,4,0,2,1,24,27.4,16
2012-2013,0,52,52,2/21/2013,2.00,28-053,28.14520548,MIA,0,CHI,19,W,1,34:29:00,11,15,0.733,1,4,0.25,3,3,1,1,11,12,7,2,0,4,2,26,26,6
2012-2013,0,53,53,2/23/2013,1.00,28-055,28.15068493,MIA,0,PHI,24,W,1,31:30:00,7,12,0.583,1,4,0.25,1,2,0.5,1,9,10,11,2,0,2,1,16,20.7,14
2012-2013,0,54,54,2/24/2013,2.00,28-056,28.15342466,MIA,1,CLE,4,W,1,38:51:00,10,19,0.526,0,1,0,8,11,0.727,2,1,3,8,1,0,2,0,28,23.8,6
2012-2013,0,55,55,2/26/2013,3.00,28-058,28.15890411,MIA,1,SAC,12,W,1,47:45:00,14,23,0.609,1,2,0.5,11,12,0.917,3,5,8,16,2,1,2,1,40,44.2,11
2012-2013,0,56,56,3/1/2013,2.00,28-061,28.16712329,MIA,1,MEM,7,W,1,42:06:00,4,14,0.286,2,4,0.5,8,12,0.667,1,7,8,10,2,1,1,1,18,19.3,-1
2012-2013,0,57,57,3/3/2013,1.00,28-063,28.17260274,MIA,0,NYK,6,W,1,42:50:00,12,23,0.522,2,6,0.333,3,6,0.5,3,8,11,7,3,1,2,1,29,27.2,9
2012-2013,0,58,58,3/4/2013,2.00,28-064,28.17534247,MIA,0,MIN,16,W,1,34:53:00,9,16,0.563,1,4,0.25,1,1,1,1,9,10,4,3,2,7,3,20,14.8,10
2012-2013,0,59,59,3/6/2013,2.00,28-066,28.18082192,MIA,1,ORL,1,W,1,38:13:00,7,14,0.5,1,6,0.167,11,12,0.917,0,3,3,2,0,1,2,0,26,19.6,8
2012-2013,0,60,60,3/8/2013,2.00,28-068,28.18630137,MIA,1,PHI,9,W,1,34:14:00,10,17,0.588,2,3,0.667,3,5,0.6,3,7,10,5,1,2,3,2,25,22.6,19
2012-2013,0,61,61,3/10/2013,2.00,28-070,28.19178082,MIA,1,IND,14,W,1,36:21:00,5,10,0.5,0,0,,3,5,0.6,1,5,6,7,1,1,4,1,13,11.6,23
2012-2013,0,62,62,3/12/2013,1.00,28-072,28.19726027,MIA,1,ATL,17,W,1,30:07:00,3,11,0.273,0,2,0,9,12,0.75,3,4,7,7,2,0,4,1,15,13.1,21
2012-2013,0,63,63,3/13/2013,2.00,28-073,28.2,MIA,0,PHI,4,W,1,37:14:00,8,19,0.421,1,4,0.25,10,12,0.833,2,5,7,8,2,1,4,1,27,22.9,7
2012-2013,0,64,64,3/15/2013,2.00,28-075,28.20547945,MIA,0,MIL,13,W,1,38:14:00,12,24,0.5,0,2,0,4,5,0.8,1,9,10,7,0,1,2,1,28,22.2,5
2012-2013,0,65,65,3/17/2013,1.00,28-077,28.2109589,MIA,0,TOR,17,W,1,33:50:00,6,12,0.5,2,6,0.333,8,11,0.727,1,11,12,8,2,0,3,1,22,23,10
2012-2013,0,66,66,3/18/2013,2.00,28-078,28.21369863,MIA,0,BOS,2,W,1,42:15:00,16,29,0.552,1,4,0.25,4,6,0.667,1,6,7,12,2,2,5,3,37,30.4,13
2012-2013,0,67,67,3/20/2013,2.00,28-080,28.21917808,MIA,0,CLE,3,W,1,42:19:00,8,22,0.364,3,7,0.429,6,8,0.75,7,5,12,10,3,2,4,1,25,25.4,1
2012-2013,0,68,68,3/22/2013,2.00,28-082,28.22465753,MIA,1,DET,14,W,1,39:53:00,12,15,0.8,1,1,1,4,6,0.667,1,7,8,8,2,1,3,1,29,30.2,14
2012-2013,0,69,69,3/24/2013,1.00,28-084,28.23013699,MIA,1,CHA,32,W,1,34:10:00,11,14,0.786,0,1,0,10,11,0.909,0,8,8,10,3,3,4,0,32,36.7,22
2012-2013,0,70,70,3/25/2013,2.00,28-085,28.23287671,MIA,0,ORL,14,W,1,38:45:00,9,16,0.563,0,0,,6,10,0.6,1,8,9,11,1,0,3,2,24,22.8,25
2012-2013,0,71,71,3/27/2013,2.00,28-087,28.23835616,MIA,0,CHI,-4,L,1,39:56:00,11,17,0.647,2,5,0.4,8,11,0.727,0,7,7,3,2,4,4,1,32,27.9,2
2012-2013,0,72,72,3/29/2013,8.00,28-089,28.24383562,MIA,0,NOH,19,W,1,32:13:00,13,20,0.65,7,10,0.7,3,5,0.6,0,4,4,6,2,0,3,0,36,30.8,19
2012-2013,0,76,73,4/6/2013,3.00,28-097,28.26575342,MIA,1,PHI,19,W,1,29:42:00,12,17,0.706,1,2,0.5,2,2,1,0,4,4,5,1,0,1,1,27,24.2,22
2012-2013,0,77,74,4/9/2013,3.00,28-100,28.2739726,MIA,1,MIL,11,W,1,30:04:00,11,16,0.688,0,1,0,6,6,1,1,6,7,7,2,1,3,0,28,28.3,21
2012-2013,0,79,75,4/12/2013,2.00,28-103,28.28219178,MIA,1,BOS,8,W,1,28:51:00,8,10,0.8,0,0,,4,4,1,1,5,6,9,0,0,1,1,20,23.3,6
2012-2013,0,80,76,4/14/2013,7.00,28-105,28.28767123,MIA,1,CHI,12,W,1,34:51:00,7,12,0.583,1,1,1,9,12,0.75,0,7,7,6,1,0,3,2,24,20.7,8
2012-2013,1,1,1,4/21/2013,2.00,28-112,28.30684932,MIA,1,MIL,23,W,1,34:31:00,9,11,0.818,1,2,0.5,8,11,0.727,2,8,10,8,0,0,5,2,27,25.3,14
2012-2013,1,2,2,4/23/2013,2.00,28-114,28.31232877,MIA,1,MIL,12,W,1,38:39:00,6,14,0.429,0,3,0,7,8,0.875,1,7,8,6,1,0,4,2,19,14.4,13
2012-2013,1,3,3,4/25/2013,3.00,28-116,28.31780822,MIA,0,MIL,13,W,1,32:48:00,9,14,0.643,2,4,0.5,2,4,0.5,0,5,5,6,0,0,5,2,22,14.9,14
2012-2013,1,4,4,4/28/2013,8.00,28-119,28.3260274,MIA,0,MIL,11,W,1,41:06:00,13,20,0.65,0,2,0,4,7,0.571,2,6,8,7,3,1,5,3,30,25.6,16
2012-2013,1,5,5,5/6/2013,2.00,28-127,28.34794521,MIA,1,CHI,-7,L,1,43:44:00,8,17,0.471,1,3,0.333,7,9,0.778,2,6,8,7,2,1,2,2,24,22.5,-15
2012-2013,1,6,6,5/8/2013,2.00,28-129,28.35342466,MIA,1,CHI,37,W,1,32:29:00,7,12,0.583,1,3,0.333,4,8,0.5,0,5,5,9,3,0,3,1,19,19.2,25
2012-2013,1,7,7,5/10/2013,3.00,28-131,28.35890411,MIA,0,CHI,10,W,1,44:25:00,6,17,0.353,2,4,0.5,11,11,1,0,8,8,7,2,0,1,0,25,23.8,7
2012-2013,1,8,8,5/13/2013,2.00,28-134,28.36712329,MIA,0,CHI,23,W,1,43:12:00,9,20,0.45,1,4,0.25,8,9,0.889,0,7,7,8,2,0,5,0,27,20.9,27
2012-2013,1,9,9,5/15/2013,7.00,28-136,28.37260274,MIA,1,CHI,3,W,1,44:26:00,5,14,0.357,1,3,0.333,12,15,0.8,0,7,7,8,2,0,2,3,23,20.5,4
2012-2013,1,10,10,5/22/2013,2.00,28-143,28.39178082,MIA,1,IND,1,W,1,46:33:00,12,24,0.5,2,6,0.333,4,7,0.571,3,7,10,10,0,3,4,5,30,24.1,3
2012-2013,1,11,11,5/24/2013,2.00,28-145,28.39726027,MIA,1,IND,-4,L,1,45:17:00,14,20,0.7,3,7,0.429,5,7,0.714,4,4,8,3,3,1,5,3,36,30.4,-7
2012-2013,1,12,12,5/26/2013,2.00,28-147,28.40273973,MIA,0,IND,18,W,1,41:13:00,8,17,0.471,0,1,0,6,6,1,0,4,4,3,0,0,0,0,22,16.6,22
2012-2013,1,13,13,5/28/2013,2.00,28-149,28.40821918,MIA,0,IND,-7,L,1,43:19:00,8,18,0.444,4,7,0.571,4,6,0.667,4,2,6,5,1,3,2,6,24,19.4,-3
2012-2013,1,14,14,5/30/2013,2.00,28-151,28.41369863,MIA,1,IND,11,W,1,44:29:00,13,26,0.5,3,7,0.429,1,4,0.25,0,8,8,6,2,1,3,1,30,21.7,14
2012-2013,1,15,15,6/1/2013,2.00,28-153,28.41917808,MIA,0,IND,-14,L,1,42:17:00,10,21,0.476,2,4,0.5,7,8,0.875,0,7,7,6,2,1,4,2,29,22.1,-22
2012-2013,1,16,16,6/3/2013,3.00,28-155,28.42465753,MIA,1,IND,23,W,1,40:49:00,8,17,0.471,1,2,0.5,15,16,0.938,2,6,8,4,2,1,2,1,32,29.2,21
2012-2013,1,17,17,6/6/2013,3.00,28-158,28.43287671,MIA,1,SAS,-4,L,1,41:35:00,7,16,0.438,1,5,0.2,3,4,0.75,2,16,18,10,0,0,2,0,18,20.4,-3
2012-2013,1,18,18,6/9/2013,2.00,28-161,28.44109589,MIA,1,SAS,19,W,1,40:33:00,7,17,0.412,1,3,0.333,2,2,1,1,7,8,7,3,3,2,2,17,17.9,29
2012-2013,1,19,19,6/11/2013,2.00,28-163,28.44657534,MIA,0,SAS,-36,L,1,39:07:00,7,21,0.333,1,5,0.2,0,0,,1,10,11,5,2,0,2,0,15,10.3,-32
2012-2013,1,20,20,6/13/2013,3.00,28-165,28.45205479,MIA,0,SAS,16,W,1,41:23:00,15,25,0.6,1,2,0.5,2,4,0.5,3,8,11,4,2,2,1,2,33,29.6,8
2012-2013,1,21,21,6/16/2013,2.00,28-168,28.46027397,MIA,0,SAS,-10,L,1,43:41:00,8,22,0.364,2,4,0.5,7,9,0.778,3,3,6,8,4,0,3,1,25,21.2,-9
2012-2013,1,22,22,6/18/2013,2.00,28-170,28.46575342,MIA,1,SAS,3,W,1,49:46:00,11,26,0.423,1,5,0.2,9,12,0.75,4,6,10,11,3,1,6,3,32,25.8,-1
2012-2013,1,23,23,6/20/2013,131.00,28-172,28.47123288,MIA,1,SAS,7,W,1,45:00:00,12,23,0.522,5,10,0.5,8,8,1,3,9,12,4,2,0,2,2,37,32.5,8
2013-2014,0,1,1,10/29/2013,1.00,28-303,28.83013699,MIA,1,CHI,12,W,1,38:01:00,5,11,0.455,0,1,0,7,9,0.778,0,6,6,8,1,0,2,0,17,16.9,8
2013-2014,0,2,2,10/30/2013,2.00,28-304,28.83287671,MIA,0,PHI,-4,L,1,36:38:00,9,17,0.529,4,7,0.571,3,4,0.75,0,4,4,13,0,0,4,3,25,21.4,-8
2013-2014,0,3,3,11/1/2013,2.00,28-306,28.83835616,MIA,0,BRK,-1,L,1,42:14:00,11,19,0.579,1,2,0.5,3,5,0.6,1,6,7,6,2,1,5,2,26,19.9,-3
2013-2014,0,4,4,11/3/2013,2.00,28-308,28.84383562,MIA,1,WAS,10,W,1,34:41:00,9,14,0.643,3,5,0.6,4,5,0.8,0,3,3,5,1,0,6,2,25,17,16
2013-2014,0,5,5,11/5/2013,2.00,28-310,28.84931507,MIA,0,TOR,9,W,1,36:01:00,13,20,0.65,1,3,0.333,8,8,1,2,6,8,8,0,1,1,2,35,33.9,3
2013-2014,0,6,6,11/7/2013,2.00,28-312,28.85479452,MIA,1,LAC,5,W,1,37:09:00,6,13,0.462,1,3,0.333,5,9,0.556,0,5,5,6,1,0,4,4,18,10.8,-1
2013-2014,0,7,7,11/9/2013,3.00,28-314,28.86027397,MIA,1,BOS,-1,L,1,36:32:00,9,13,0.692,0,0,,7,9,0.778,1,7,8,10,0,0,5,1,25,23.1,5
2013-2014,0,8,8,11/12/2013,3.00,28-317,28.86849315,MIA,1,MIL,23,W,1,29:58:00,13,21,0.619,4,7,0.571,3,6,0.5,0,3,3,2,0,0,3,0,33,21.6,14
2013-2014,0,9,9,11/15/2013,1.00,28-320,28.87671233,MIA,1,DAL,6,W,1,36:58:00,14,18,0.778,1,1,1,10,11,0.909,0,6,6,4,1,0,6,0,39,31.2,0
2013-2014,0,10,10,11/16/2013,3.00,28-321,28.87945205,MIA,0,CHA,16,W,1,31:55:00,13,18,0.722,0,0,,4,4,1,1,3,4,7,1,1,3,1,30,27.4,7
2013-2014,0,11,11,11/19/2013,1.00,28-324,28.88767123,MIA,1,ATL,16,W,1,30:42:00,6,13,0.462,0,0,,1,3,0.333,2,4,6,5,1,0,3,0,13,9.6,14
2013-2014,0,12,12,11/20/2013,3.00,28-325,28.89041096,MIA,0,ORL,28,W,1,29:05:00,5,11,0.455,0,2,0,11,11,1,1,5,6,7,1,1,4,0,21,20.1,23
2013-2014,0,13,13,11/23/2013,2.00,28-328,28.89863014,MIA,1,ORL,2,W,1,37:35:00,7,13,0.538,3,6,0.5,5,7,0.714,0,9,9,7,3,0,3,0,22,22.5,7
2013-2014,0,14,14,11/25/2013,2.00,28-330,28.90410959,MIA,1,PHO,15,W,1,33:21:00,11,14,0.786,2,4,0.5,11,11,1,0,5,5,4,1,1,4,0,35,31.6,1
2013-2014,0,15,15,11/27/2013,2.00,28-332,28.90958904,MIA,0,CLE,11,W,1,37:06:00,9,19,0.474,1,3,0.333,9,11,0.818,0,8,8,8,3,0,1,3,28,26.3,0
2013-2014,0,16,16,11/29/2013,2.00,28-334,28.91506849,MIA,0,TOR,7,W,1,36:27:00,10,17,0.588,3,5,0.6,4,6,0.667,1,5,6,3,1,1,3,2,27,20.5,3
2013-2014,0,17,17,12/1/2013,2.00,28-336,28.92054795,MIA,1,CHA,1,W,1,38:16:00,8,13,0.615,1,3,0.333,9,10,0.9,0,5,5,4,1,1,3,0,26,22.7,-4
2013-2014,0,18,18,12/3/2013,2.00,28-338,28.9260274,MIA,1,DET,-10,L,1,36:58:00,8,15,0.533,2,5,0.4,5,8,0.625,3,2,5,6,2,1,6,2,23,17.3,-6
2013-2014,0,19,19,12/5/2013,2.00,28-340,28.93150685,MIA,0,CHI,-20,L,1,33:18:00,7,17,0.412,1,4,0.25,6,8,0.75,0,5,5,2,3,0,1,2,21,15.2,-21
2013-2014,0,20,20,12/7/2013,1.00,28-342,28.9369863,MIA,0,MIN,21,W,1,30:34:00,9,12,0.75,0,0,,3,5,0.6,4,10,14,8,2,0,7,3,21,20.6,9
2013-2014,0,21,21,12/8/2013,2.00,28-343,28.93972603,MIA,0,DET,15,W,1,35:01:00,10,15,0.667,0,2,0,4,5,0.8,1,6,7,9,2,0,6,2,24,21.1,18
2013-2014,0,22,22,12/10/2013,4.00,28-345,28.94520548,MIA,0,IND,-6,L,1,38:32:00,6,16,0.375,1,4,0.25,4,6,0.667,1,13,14,6,2,0,5,3,17,12,-2
2013-2014,0,23,23,12/14/2013,2.00,28-349,28.95616438,MIA,1,CLE,7,W,1,40:37:00,9,12,0.75,0,2,0,7,10,0.7,2,7,9,9,4,0,2,2,25,30,6
2013-2014,0,24,24,12/16/2013,2.00,28-351,28.96164384,MIA,1,UTA,23,W,1,33:49:00,13,17,0.765,0,1,0,4,5,0.8,1,8,9,9,1,0,3,1,30,29.9,24
2013-2014,0,25,25,12/18/2013,2.00,28-353,28.96712329,MIA,1,IND,3,W,1,36:14:00,8,14,0.571,1,3,0.333,7,7,1,0,9,9,7,3,0,3,3,24,23.8,16
2013-2014,0,26,26,12/20/2013,3.00,28-355,28.97260274,MIA,1,SAC,19,W,1,30:40:00,8,11,0.727,1,2,0.5,1,2,0.5,2,4,6,8,1,1,1,1,18,21.6,14
2013-2014,0,27,27,12/23/2013,2.00,28-358,28.98082192,MIA,1,ATL,2,W,1,45:38:00,16,28,0.571,4,9,0.444,2,6,0.333,4,4,8,6,2,0,0,2,38,32.6,-4
2013-2014,0,28,28,12/25/2013,2.00,28-360,28.98630137,MIA,0,LAL,6,W,1,35:48:00,7,14,0.5,0,4,0,5,9,0.556,0,8,8,4,0,0,2,2,19,12.8,0
2013-2014,0,29,29,12/27/2013,3.00,28-362,28.99178082,MIA,0,SAC,-5,L,1,43:43:00,12,23,0.522,4,9,0.444,5,6,0.833,0,8,8,8,0,0,2,3,33,26.1,-10
2013-2014,0,31,30,12/30/2013,3.00,29-000,29,MIA,0,DEN,3,W,1,39:44:00,8,15,0.533,5,9,0.556,5,8,0.625,1,5,6,10,0,1,4,0,26,23.4,4
2013-2014,0,32,31,1/2/2014,2.00,29-003,29.00821918,MIA,1,GSW,-9,L,1,39:34:00,10,16,0.625,1,4,0.25,5,8,0.625,0,5,5,5,0,1,8,0,26,15.3,-11
2013-2014,0,33,32,1/4/2014,1.00,29-005,29.01369863,MIA,0,ORL,16,W,1,35:55:00,5,13,0.385,0,1,0,5,8,0.625,1,7,8,8,1,0,3,1,15,12.7,17
2013-2014,0,34,33,1/5/2014,2.00,29-006,29.01643836,MIA,1,TOR,5,W,1,37:47:00,12,18,0.667,0,0,,6,7,0.857,1,3,4,5,1,0,1,1,30,26.5,1
2013-2014,0,35,34,1/7/2014,2.00,29-008,29.02191781,MIA,1,NOP,19,W,1,35:15:00,13,22,0.591,3,6,0.5,3,3,1,1,2,3,5,2,0,3,1,32,25.2,19
2013-2014,0,36,35,1/9/2014,1.00,29-010,29.02739726,MIA,0,NYK,-10,L,1,41:25:00,12,17,0.706,1,4,0.25,7,11,0.636,0,5,5,6,1,1,6,2,32,23.9,1
2013-2014,0,37,36,1/10/2014,5.00,29-011,29.03013699,MIA,0,BRK,-9,L,1,49:22:00,12,21,0.571,2,5,0.4,10,12,0.833,3,4,7,5,0,0,4,6,36,25.7,-1
2013-2014,0,38,37,1/15/2014,2.00,29-016,29.04383562,MIA,0,WAS,-17,L,1,41:04:00,8,18,0.444,0,4,0,9,10,0.9,2,6,8,7,2,0,4,1,25,20.9,-15
2013-2014,0,39,38,1/17/2014,1.00,29-018,29.04931507,MIA,0,PHI,15,W,1,36:31:00,7,13,0.538,0,1,0,7,8,0.875,1,7,8,10,2,1,3,3,21,22.6,17
2013-2014,0,40,39,1/18/2014,2.00,29-019,29.05205479,MIA,0,CHA,8,W,1,44:52:00,13,25,0.52,0,3,0,8,10,0.8,2,6,8,6,1,0,2,4,34,25.7,15
2013-2014,0,41,40,1/20/2014,1.00,29-021,29.05753425,MIA,0,ATL,-7,L,1,38:43:00,11,21,0.524,3,7,0.429,5,8,0.625,1,3,4,6,1,0,3,1,30,21.9,0
2013-2014,0,42,41,1/21/2014,2.00,29-022,29.06027397,MIA,1,BOS,7,W,1,38:48:00,10,19,0.526,0,4,0,9,11,0.818,1,7,8,4,2,0,3,1,29,23.1,10
2013-2014,0,43,42,1/23/2014,3.00,29-024,29.06575342,MIA,1,LAL,7,W,1,37:18:00,9,15,0.6,2,4,0.5,7,13,0.538,2,11,13,6,1,0,5,1,27,22.2,4
2013-2014,0,44,43,1/26/2014,3.00,29-027,29.0739726,MIA,1,SAS,12,W,1,27:43:00,8,15,0.533,1,3,0.333,1,1,1,0,7,7,6,1,0,4,4,18,12.4,22
2013-2014,0,45,44,1/29/2014,3.00,29-030,29.08219178,MIA,1,OKC,-17,L,1,42:10:00,12,20,0.6,1,5,0.2,9,9,1,1,2,3,3,0,0,3,1,34,24.8,-17
2013-2014,0,46,45,2/1/2014,2.00,29-033,29.09041096,MIA,0,NYK,15,W,1,39:06:00,13,22,0.591,1,3,0.333,3,6,0.5,1,7,8,7,6,0,2,3,30,29.1,14
2013-2014,0,47,46,2/3/2014,2.00,29-035,29.09589041,MIA,1,DET,6,W,1,38:19:00,9,19,0.474,0,3,0,6,8,0.75,1,7,8,11,2,2,1,1,24,26,6
2013-2014,0,48,47,2/5/2014,3.00,29-037,29.10136986,MIA,0,LAC,4,W,1,40:47:00,11,20,0.55,3,7,0.429,6,8,0.75,1,7,8,12,3,1,7,2,31,27.7,3
2013-2014,0,49,48,2/8/2014,3.00,29-040,29.10958904,MIA,0,UTA,-5,L,1,39:21:00,4,13,0.308,1,6,0.167,4,6,0.667,0,7,7,5,0,0,5,2,13,4.5,0
2013-2014,0,50,49,2/11/2014,1.00,29-043,29.11780822,MIA,0,PHO,6,W,1,40:59:00,12,22,0.545,2,5,0.4,11,14,0.786,1,8,9,3,5,0,4,2,37,30.6,8
2013-2014,0,51,50,2/12/2014,6.00,29-044,29.12054795,MIA,0,GSW,1,W,1,42:16:00,14,26,0.538,4,8,0.5,4,7,0.571,1,12,13,9,2,0,2,1,36,32.4,-2
2013-2014,0,52,51,2/18/2014,2.00,29-050,29.1369863,MIA,0,DAL,11,W,1,38:28:00,16,23,0.696,4,8,0.5,6,8,0.75,2,7,9,6,2,0,3,2,42,37.4,19
2013-2014,0,53,52,2/20/2014,7.00,29-052,29.14246575,MIA,0,OKC,22,W,1,33:24:00,15,22,0.682,1,5,0.2,2,5,0.4,1,6,7,3,4,0,8,1,33,22.6,9
2013-2014,0,55,53,2/27/2014,2.00,29-059,29.16164384,MIA,1,NYK,26,W,1,36:38:00,13,19,0.684,1,2,0.5,4,6,0.667,0,4,4,4,0,0,1,0,31,25.1,21
2013-2014,0,56,54,3/1/2014,2.00,29-061,29.16712329,MIA,1,ORL,14,W,1,31:13:00,8,12,0.667,0,2,0,4,5,0.8,1,8,9,7,4,0,2,1,20,24,14
2013-2014,0,57,55,3/3/2014,1.00,29-063,29.17260274,MIA,1,CHA,17,W,1,41:12:00,22,33,0.667,8,10,0.8,9,12,0.75,3,4,7,4,0,0,2,2,61,48.8,16
2013-2014,0,58,56,3/4/2014,2.00,29-064,29.17534247,MIA,0,HOU,-3,L,1,36:38:00,9,18,0.5,0,3,0,4,6,0.667,1,0,1,6,3,0,1,1,22,18.7,-15
2013-2014,0,59,57,3/6/2014,3.00,29-066,29.18082192,MIA,0,SAS,-24,L,1,38:04:00,6,18,0.333,0,3,0,7,9,0.778,3,5,8,7,2,0,5,5,19,11.5,-10
2013-2014,0,60,58,3/9/2014,1.00,29-069,29.1890411,MIA,0,CHI,-7,L,1,45:19:00,8,23,0.348,1,3,0.333,0,0,,1,8,9,8,3,1,4,1,17,12.1,6
2013-2014,0,61,59,3/10/2014,2.00,29-070,29.19178082,MIA,1,WAS,9,W,1,36:45:00,10,15,0.667,3,4,0.75,0,0,,2,5,7,8,3,0,3,3,23,23.8,16
2013-2014,0,62,60,3/12/2014,2.00,29-072,29.19726027,MIA,1,BRK,-1,L,1,38:03:00,6,13,0.462,1,4,0.25,6,9,0.667,0,5,5,7,3,0,5,1,19,15.1,2
2013-2014,0,63,61,3/14/2014,2.00,29-074,29.20273973,MIA,1,DEN,-4,L,1,39:50:00,8,17,0.471,0,4,0,5,7,0.714,0,6,6,6,1,0,4,3,21,13.3,-8
2013-2014,0,64,62,3/16/2014,2.00,29-076,29.20821918,MIA,1,HOU,9,W,1,42:52:00,8,17,0.471,1,3,0.333,7,8,0.875,0,5,5,6,2,0,5,3,24,16.4,11
2013-2014,0,65,63,3/18/2014,3.00,29-078,29.21369863,MIA,0,CLE,4,W,1,41:40:00,14,19,0.737,6,8,0.75,9,13,0.692,0,6,6,4,2,3,0,1,43,42,11
2013-2014,0,67,64,3/21/2014,1.00,29-081,29.22191781,MIA,1,MEM,5,W,1,38:01:00,7,14,0.5,0,2,0,1,2,0.5,1,5,6,7,2,1,3,0,15,14.4,4
2013-2014,0,68,65,3/22/2014,2.00,29-082,29.22465753,MIA,0,NOP,-10,L,1,41:59:00,10,18,0.556,2,4,0.5,3,3,1,1,7,8,9,0,1,3,1,25,22.8,-6
